http://dbpedia.org/property/ethnicity,count,adjective
http://dbpedia.org/resource/Tagbanwa_people,3,
http://dbpedia.org/resource/Tidung_people,3,
http://dbpedia.org/resource/Gurung_people,3,
http://dbpedia.org/resource/Ashkenazi_Jews,3,
http://dbpedia.org/resource/Persian_peoples,3,
0.4,3,
http://dbpedia.org/resource/Gibraltarians,3,
http://dbpedia.org/resource/Mayoruna,3,
http://dbpedia.org/resource/Cuicatec_people,3,
http://dbpedia.org/resource/Irish_American,3,
http://dbpedia.org/resource/Mizo_people,3,
http://dbpedia.org/resource/Koreans,3,
http://dbpedia.org/resource/Dutch_American,2,
http://dbpedia.org/resource/Wik-Kalkan,2,
http://dbpedia.org/resource/Hangaza_people,2,
http://dbpedia.org/resource/Komering_people,2,
http://dbpedia.org/resource/Herero_people,2,
2200,2,
http://dbpedia.org/resource/Si_La_people,2,
http://dbpedia.org/resource/Danes,2,
various,2,
http://dbpedia.org/resource/Tsimshian_people,2,
6,2,
http://dbpedia.org/resource/Chitty,2,
800,2,
http://dbpedia.org/resource/West_Frisians,2,
http://dbpedia.org/resource/Bretons,2,
http://dbpedia.org/resource/Bengali_people,2,
http://dbpedia.org/resource/Kolla_people,2,
http://dbpedia.org/resource/Intha_people,2,
http://dbpedia.org/resource/Jiwarli,2,
http://dbpedia.org/resource/Lithuanians,2,
http://dbpedia.org/resource/Ivatan_people,2,
http://dbpedia.org/resource/Lezgins,2,
4.6,2,
http://dbpedia.org/resource/Indo_people,2,
http://dbpedia.org/resource/Konkani_people,2,
http://dbpedia.org/resource/Faroe_Islanders,2,
http://dbpedia.org/resource/Bosniak,2,
http://dbpedia.org/resource/Chaná_people,2,
50,2,
http://dbpedia.org/resource/Akuapem_people,2,
http://dbpedia.org/resource/Portuguese_people,2,
http://dbpedia.org/resource/Cook_Islands,2,
1.3,2,
http://dbpedia.org/resource/Harari_people,2,
140,2,
http://dbpedia.org/resource/Quandamooka_people,2,
http://dbpedia.org/resource/Purí_people,2,
http://dbpedia.org/resource/Alur_people,2,
Pashtuns,2,
460,2,
http://dbpedia.org/resource/Phunoi_people,2,
0.8,2,
http://dbpedia.org/resource/Lotha_Naga,2,
http://dbpedia.org/resource/South_Asian_ethnic_groups,2,
http://dbpedia.org/resource/Isan_people,2,
http://dbpedia.org/resource/Rengma_Naga,2,
1100000,2,
http://dbpedia.org/resource/Murunitja,2,
http://dbpedia.org/resource/Laks_(Caucasus),2,
20,2,
http://dbpedia.org/resource/Puerto_Ricans,2,
http://dbpedia.org/resource/Chonyi_people,2,
http://dbpedia.org/resource/She_people,2,
http://dbpedia.org/resource/Akha_people,2,
http://dbpedia.org/resource/Bidayuh,2,
http://dbpedia.org/resource/American,2,
http://dbpedia.org/resource/Galician_people,2,
http://dbpedia.org/resource/Celtic_Britons,2,
http://dbpedia.org/resource/Northern_Thai_people,2,
53000,2,
http://dbpedia.org/resource/Maidu_people,2,
Chechen,2,
http://dbpedia.org/resource/Ukraine,2,
Algerian Arab-Berbers and Haratins,2,
http://dbpedia.org/resource/Phula_people,2,
http://dbpedia.org/resource/Latins_(Italic_tribe),2,
http://dbpedia.org/resource/Griko_people,2,
http://dbpedia.org/resource/Kamasins,2,
Serbian,2,
http://dbpedia.org/resource/Ottoman_Turks,2,
http://dbpedia.org/resource/Djimini_people,2,
http://dbpedia.org/resource/Zeme_people,2,
570,2,
http://dbpedia.org/resource/Hewa_people,2,
http://dbpedia.org/resource/Tjimba_people,2,
520,2,
http://dbpedia.org/resource/Kartudjara,2,
http://dbpedia.org/resource/Swiss_people,2,
http://dbpedia.org/resource/Mon_people,2,
http://dbpedia.org/resource/Marind_people,2,
http://dbpedia.org/resource/Slovaks,2,
http://dbpedia.org/resource/Nyishi_people,2,
http://dbpedia.org/resource/Sikkimese_people,2,
5,2,
http://dbpedia.org/resource/White_Zimbabwean,2,
35000,2,
white,2,
http://dbpedia.org/resource/Gkuthaarn,2,
http://dbpedia.org/resource/Katu_people,2,
Mexican and Mexican American,2,
Bolivians,2,
http://dbpedia.org/resource/Aja_people,2,
http://dbpedia.org/resource/Efik_people,2,
http://dbpedia.org/resource/Urhobo_people,2,
http://dbpedia.org/resource/Gujarati_people,2,
http://dbpedia.org/resource/Khas_people,2,
13000,2,
http://dbpedia.org/resource/Friesland,2,
http://dbpedia.org/resource/Monpa_people,2,
http://dbpedia.org/resource/Wergaia,2,
http://dbpedia.org/resource/Rajasthani_people,2,
http://dbpedia.org/resource/Bikwin_people,2,
http://dbpedia.org/resource/Gaels,2,
http://dbpedia.org/resource/Vinza_people,2,
http://dbpedia.org/resource/Chehalis_people,2,
http://dbpedia.org/resource/Acholi_people,2,
http://dbpedia.org/resource/Sundanese_people,2,
http://dbpedia.org/resource/Baggara,2,
Cape Malays,2,
http://dbpedia.org/resource/Kalash_people,2,
2011,2,
http://dbpedia.org/resource/Makaa_people,2,
African American,2,
http://dbpedia.org/resource/Lisu_people,2,
450,2,
260,2,
http://dbpedia.org/resource/Kayah_people,2,
http://dbpedia.org/resource/Ha_people,2,
http://dbpedia.org/resource/Mugali,2,
http://dbpedia.org/resource/Ohlone,2,
17000,2,
170,2,
http://dbpedia.org/resource/Shilha_people,2,
http://dbpedia.org/resource/Norwegians,2,
http://dbpedia.org/resource/Singkil_people,2,
Filipino,2,
http://dbpedia.org/resource/Bosniaks,2,
http://dbpedia.org/resource/Balti_people,2,
http://dbpedia.org/resource/Kayan_people_(Borneo),2,
http://dbpedia.org/resource/Karbi_people,2,
98.5,2,
http://dbpedia.org/resource/Czechs,2,
http://dbpedia.org/resource/Riau_Malays,2,
http://dbpedia.org/resource/Hoklo_people,2,
http://dbpedia.org/resource/Russian,2,
http://dbpedia.org/resource/Berta_people,2,
18000,2,
http://dbpedia.org/resource/Kyrgyz_people,2,
American,2,
85,2,
http://dbpedia.org/resource/Vietnamese_Americans,2,
http://dbpedia.org/resource/Bengalis,2,
http://dbpedia.org/resource/Bindal_people,2,
http://dbpedia.org/resource/Hakka_people,2,
http://dbpedia.org/resource/Jirel_people,2,
http://dbpedia.org/resource/Peranakans,2,
http://dbpedia.org/resource/Khmer_people,2,
http://dbpedia.org/resource/Marwari_people,2,
